Question,Option A,Option B,Option C,Option D,Correct Answer
What symptom in preeclampsia indicates hepatic involvement?,Right upper quadrant pain and elevated enzymes,Leg edema,Polyuria,Cough,Right upper quadrant pain and elevated enzymes
Which maternal complication may result in pulmonary edema due to capillary leak?,Severe preeclampsia,Preeclampsia without proteinuria,Eclampsia,Gestational diabetes,Severe preeclampsia
Which fetal complication is common with maternal preeclampsia?,Intrauterine growth restriction,Fetal macrosomia,Polyhydramnios,Neural tube defects,Intrauterine growth restriction
Which maternal complication causes symptoms of microangiopathic hemolysis during pregnancy?,HELLP syndrome,Gestational diabetes,Preeclampsia,Placenta previa,HELLP syndrome
What is the typical treatment to reduce morbidity from eclampsia?,Magnesium sulfate,Antihypertensives only,Steroids,Anticonvulsants other than magnesium,Magnesium sulfate
What is a rare but fatal complication associated with pregnancy complicated by subcapsular hematoma?,Hepatic rupture,Gestational diabetes,Abruptio placenta,Preeclampsia,Hepatic rupture
Which maternal complication involves disseminated intravascular coagulation frequently?,Placental abruption,Uterine rupture,Gestational diabetes,Hyperemesis gravidum,Placental abruption
Which maternal complication can be mistaken for HELLP syndrome?,Thrombotic thrombocytopenic purpura,Eclampsia,Preeclampsia,Gestational diabetes,Thrombotic thrombocytopenic purpura
What is the outcome of intravascular coagulopathy in pregnancy?,Severe bleeding and organ damage,Mild anemia,Gestational diabetes,Improved fetal growth,Severe bleeding and organ damage
Which maternal complication is indicated by sudden severe abdominal pain and hemodynamic instability during pregnancy trauma?,Uterine rupture,Eclampsia,Gestational diabetes,Placental abruption,Uterine rupture
What pregnancy complication commonly presents with headache, visual changes, and severe hypertension?,Preeclampsia,Eclampsia,Uterine rupture,Gestational diabetes,Preeclampsia
Which maternal complication frequently leads to acute kidney injury in severe preeclampsia?,Acute tubular necrosis,Nephrolithiasis,Interstitial nephritis,Pyelonephritis,Acute tubular necrosis
What is a defining feature of eclampsia?,Seizures on top of preeclampsia features,Hypertension without seizures,Fever and chills,Nausea and vomiting,Seizures on top of preeclampsia features
